CBSA Code,Metro Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County,State Abbreviation
47940,,,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,,,Black Hawk County,Iowa,19,013,Central,IA
47940,,,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,,,Bremer County,Iowa,19,017,Outlying,IA
47940,,,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,,,Grundy County,Iowa,19,075,Outlying,IA
47980,,,"Watertown, SD",Micropolitan Statistical Area,,,Codington County,South Dakota,46,029,Central,SD
48020,,376,"Watertown-Fort Atkinson, WI",Micropolitan Statistical Area,,"Milwaukee-Racine-Waukesha, WI",Jefferson County,Wisconsin,55,055,Central,WI
48060,,,"Watertown-Fort Drum, NY",Metropolitan Statistical Area,,,Jefferson County,New York,36,045,Central,NY
48100,,,"Wauchula, FL",Micropolitan Statistical Area,,,Hardee County,Florida,12,049,Central,FL
48140,,554,"Wausau, WI",Metropolitan Statistical Area,,"Wausau-Stevens Point-Wisconsin Rapids, WI",Marathon County,Wisconsin,55,073,Central,WI
48180,,,"Waycross, GA",Micropolitan Statistical Area,,,Pierce County,Georgia,13,229,Outlying,GA
48180,,,"Waycross, GA",Micropolitan Statistical Area,,,Ware County,Georgia,13,299,Central,GA
48220,,,"Weatherford, OK",Micropolitan Statistical Area,,,Custer County,Oklahoma,40,039,Central,OK
48260,,430,"Weirton-Steubenville, WV-OH",Metropolitan Statistical Area,,"Pittsburgh-New Castle-Weirton, PA-OH-WV",Jefferson County,Ohio,39,081,Central,OH
48260,,430,"Weirton-Steubenville, WV-OH",Metropolitan Statistical Area,,"Pittsburgh-New Castle-Weirton, PA-OH-WV",Brooke County,West Virginia,54,009,Central,WV
48260,,430,"Weirton-Steubenville, WV-OH",Metropolitan Statistical Area,,"Pittsburgh-New Castle-Weirton, PA-OH-WV",Hancock County,West Virginia,54,029,Central,WV
48300,,,"Wenatchee, WA",Metropolitan Statistical Area,,,Chelan County,Washington,53,007,Central,WA
48300,,,"Wenatchee, WA",Metropolitan Statistical Area,,,Douglas County,Washington,53,017,Central,WA
48460,,,"West Plains, MO",Micropolitan Statistical Area,,,Howell County,Missouri,29,091,Central,MO
48540,,,"Wheeling, WV-OH",Metropolitan Statistical Area,,,Belmont County,Ohio,39,013,Central,OH
48540,,,"Wheeling, WV-OH",Metropolitan Statistical Area,,,Marshall County,West Virginia,54,051,Central,WV
48540,,,"Wheeling, WV-OH",Metropolitan Statistical Area,,,Ohio County,West Virginia,54,069,Central,WV
48580,,376,"Whitewater-Elkhorn, WI",Micropolitan Statistical Area,,"Milwaukee-Racine-Waukesha, WI",Walworth County,Wisconsin,55,127,Central,WI
48620,,556,"Wichita, KS",Metropolitan Statistical Area,,"Wichita-Arkansas City-Winfield, KS",Butler County,Kansas,20,015,Outlying,KS
48620,,556,"Wichita, KS",Metropolitan Statistical Area,,"Wichita-Arkansas City-Winfield, KS",Harvey County,Kansas,20,079,Outlying,KS
48620,,556,"Wichita, KS",Metropolitan Statistical Area,,"Wichita-Arkansas City-Winfield, KS",Kingman County,Kansas,20,095,Outlying,KS
48620,,556,"Wichita, KS",Metropolitan Statistical Area,,"Wichita-Arkansas City-Winfield, KS",Sedgwick County,Kansas,20,173,Central,KS
48620,,556,"Wichita, KS",Metropolitan Statistical Area,,"Wichita-Arkansas City-Winfield, KS",Sumner County,Kansas,20,191,Outlying,KS
48660,,,"Wichita Falls, TX",Metropolitan Statistical Area,,,Archer County,Texas,48,009,Outlying,TX
48660,,,"Wichita Falls, TX",Metropolitan Statistical Area,,,Clay County,Texas,48,077,Outlying,TX
48660,,,"Wichita Falls, TX",Metropolitan Statistical Area,,,Wichita County,Texas,48,485,Central,TX
48700,,558,"Williamsport, PA",Metropolitan Statistical Area,,"Williamsport-Lock Haven, PA",Lycoming County,Pennsylvania,42,081,Central,PA
